pic,corrAns,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,rt1,polygon.started,polygon.stopped,key_stim.keys,key_stim.corr,key_stim.started,key_stim.stopped,text_fb.started,text_fb.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_stim_2.keys,key_stim_2.corr,key_stim_2.started,key_stim_2.stopped,admin,participant,session,date,frameRate,
picResource\go_nogo\purpleTri.png,None,0,0,0,6,,,,,0.5,83.94502680000005,None,None,1,84.46123420000004,None,85.96052199999758,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteRect.png,j,0,1,1,3,,,,,0.5,86.9600423999982,None,None,0,87.45956309999747,None,88.95799509999779,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\purpleRect.png,None,0,2,2,7,,,,,0.5,89.97366429999965,None,None,1,90.47331819999818,None,91.98832349999793,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteTri.png,j,0,3,3,0,,,,,1.0,92.98726890000034,None,None,0,93.98642979999931,None,95.48490479999964,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteTri.png,j,0,4,4,2,,,,,0.5,96.50065360000008,None,None,0,97.00020980000045,None,98.49867090000043,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteRect.png,j,0,5,5,1,,,,,0.8,99.51428699999815,None,None,0,100.31353979999767,None,101.82893189999959,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteTri.png,j,0,6,6,4,,,,,0.8,102.82766199999969,None,None,0,103.62696710000091,None,105.12544340000022,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteRect.png,j,0,7,7,5,,,,,0.5,106.14066470000034,None,None,0,106.64062209999975,None,108.15572099999918,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
,,,,,,,,,,,,,,,,,,,space,15.4114198999996,109.15488899999764,None,,,,,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteRect.png,j,,,,,0,0,0,1,0.9,124.62170350000088,None,,,,,,,,,,,None,0,125.52197619999788,None,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteRect.png,j,,,,,0,1,1,5,0.7,127.0370471999995,None,,,,,,,,,,,None,0,127.73640449999948,None,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
picResource\go_nogo\whiteRect.png,j,,,,,0,2,2,5,0.7,129.25136709999788,None,,,,,,,,,,,None,0,129.9509091,None,testAdmin,participantTest1,1,2022-06-12_01h19.06.034,60.030927934146455,
,,,,,,,,,,1.0,131.46693389999928,None,,,,,,,,,,,None,0,132.48166839999976,None,,,,,,
